x,u_m,u_mm,M,,
0.314,-3.85E-06,-0.003854224,68.12631333,,
0.315,-3.88E-06,-0.003878012,68.07945833,,
0.316,-3.90E-06,-0.003901867,68.03261333,,
0.317,-3.93E-06,-0.003925791,67.98577833,,
0.318,-3.95E-06,-0.003949782,67.93895333,,
0.319,-3.97E-06,-0.003973842,67.89213833,,
0.32,-4.00E-06,-0.003997969,67.84533333,,
0.321,-4.02E-06,-0.004022164,67.79853833,,
0.322,-4.05E-06,-0.004046427,67.75175333,,
0.323,-4.07E-06,-0.004070758,67.70497833,,
0.324,-4.10E-06,-0.004095156,67.65821333,,
0.325,-4.12E-06,-0.004119623,67.61145833,,
0.326,-4.14E-06,-0.004144156,67.56471333,,
0.327,-4.17E-06,-0.004168758,67.51797833,,
0.328,-4.19E-06,-0.004193426,67.47125333,,
0.329,-4.22E-06,-0.004218163,67.42453833,,
0.33,-4.24E-06,-0.004242966,67.37783333,,
0.331,-4.27E-06,-0.004267837,67.33113833,,
0.332,-4.29E-06,-0.004292776,67.28445333,,
0.333,-4.32E-06,-0.004317782,67.23777833,,
0.334,-4.34E-06,-0.004342854,67.19111333,,
0.335,-4.37E-06,-0.004367995,67.14445833,,
0.336,-4.39E-06,-0.004393202,67.09781333,,
0.337,-4.42E-06,-0.004418476,67.05117833,,
0.338,-4.44E-06,-0.004443818,67.00455333,,
0.339,-4.47E-06,-0.004469226,66.95793833,,
0.34,-4.49E-06,-0.004494701,66.91133333,,
0.341,-4.52E-06,-0.004520244,66.86473833,,
0.342,-4.55E-06,-0.004545853,66.81815333,,
0.343,-4.57E-06,-0.004571529,66.77157833,,
0.344,-4.60E-06,-0.004597272,66.72501333,,
0.345,-4.62E-06,-0.004623081,66.67845833,,
0.346,-4.65E-06,-0.004648957,66.63191333,,
0.347,-4.67E-06,-0.0046749,66.58537833,,
0.348,-4.70E-06,-0.004700909,66.53885333,,
0.349,-4.73E-06,-0.004726985,66.49233833,,
0.35,-4.75E-06,-0.004753128,66.44583333,,
0.351,-4.78E-06,-0.004779336,66.39933833,,
0.352,-4.81E-06,-0.004805612,66.35285333,,
0.353,-4.83E-06,-0.004831953,66.30637833,,
0.354,-4.86E-06,-0.004858361,66.25991333,,
0.355,-4.88E-06,-0.004884835,66.21345833,,
0.356,-4.91E-06,-0.004911376,66.16701333,,
0.357,-4.94E-06,-0.004937982,66.12057833,,
0.358,-4.96E-06,-0.004964655,66.07415333,,
0.359,-4.99E-06,-0.004991394,66.02773833,,
0.36,-5.02E-06,-0.005018198,65.98133333,,
0.361,-5.05E-06,-0.005045069,65.93493833,,
0.362,-5.07E-06,-0.005072006,65.88855333,,
0.363,-5.10E-06,-0.005099008,65.84217833,,
0.364,-5.13E-06,-0.005126077,65.79581333,,
0.365,-5.15E-06,-0.005153211,65.74945833,,
0.366,-5.18E-06,-0.005180411,65.70311333,,
0.367,-5.21E-06,-0.005207677,65.65677833,,
0.368,-5.24E-06,-0.005235008,65.61045333,,
0.369,-5.26E-06,-0.005262405,65.56413833,,
0.37,-5.29E-06,-0.005289867,65.51783333,,
0.371,-5.32E-06,-0.005317395,65.47153833,,
0.372,-5.34E-06,-0.005344989,65.42525333,,
0.373,-5.37E-06,-0.005372648,65.37897833,,
0.374,-5.40E-06,-0.005400372,65.33271333,,
0.375,-5.43E-06,-0.005428162,65.28645833,,
0.376,-5.46E-06,-0.005456017,65.24021333,,
0.377,-5.48E-06,-0.005483937,65.19397833,,
0.378,-5.51E-06,-0.005511922,65.14775333,,
0.379,-5.54E-06,-0.005539972,65.10153833,,
0.38,-5.57E-06,-0.005568088,65.05533333,,
0.381,-5.60E-06,-0.005596269,65.00913833,,
0.382,-5.62E-06,-0.005624514,64.96295333,,
0.383,-5.65E-06,-0.005652825,64.91677833,,
0.384,-5.68E-06,-0.0056812,64.87061333,,
0.385,-5.71E-06,-0.005709641,64.82445833,,
0.386,-5.74E-06,-0.005738146,64.77831333,,
0.387,-5.77E-06,-0.005766716,64.73217833,,
0.388,-5.80E-06,-0.005795351,64.68605333,,
0.389,-5.82E-06,-0.00582405,64.63993833,,
0.39,-5.85E-06,-0.005852814,64.59383333,,
0.391,-5.88E-06,-0.005881643,64.54773833,,
0.392,-5.91E-06,-0.005910536,64.50165333,,
0.393,-5.94E-06,-0.005939494,64.45557833,,
0.394,-5.97E-06,-0.005968516,64.40951333,,
0.395,-6.00E-06,-0.005997603,64.36345833,,
0.396,-6.03E-06,-0.006026754,64.31741333,,
0.397,-6.06E-06,-0.006055969,64.27137833,,
0.398,-6.09E-06,-0.006085248,64.22535333,,
0.399,-6.11E-06,-0.006114592,64.17933833,,
0.4,-0.000006144,-0.006144,64.13333333,,
0.401,-6.17E-06,-0.006173472,64.08733833,,
0.402,-6.20E-06,-0.006203008,64.04135333,,
0.403,-6.23E-06,-0.006232608,63.99537833,,
0.404,-6.26E-06,-0.006262273,63.94941333,,
0.405,-6.29E-06,-0.006292001,63.90345833,,
0.406,-6.32E-06,-0.006321793,63.85751333,,
0.407,-6.35E-06,-0.006351649,63.81157833,,
0.408,-6.38E-06,-0.006381568,63.76565333,,
0.409,-6.41E-06,-0.006411552,63.71973833,,
0.41,-6.44E-06,-0.006441599,63.67383333,,
0.411,-6.47E-06,-0.00647171,63.62793833,,
0.412,-6.50E-06,-0.006501884,63.58205333,,
0.413,-6.53E-06,-0.006532122,63.53617833,,
0.414,-6.56E-06,-0.006562424,63.49031333,,
