x,u_m,u_mm,M,,,,,
-4.646,-4.86E-06,-0.004858361,66.25991333,,,,,
-4.645,-4.88E-06,-0.004884835,66.21345833,,,,,
-4.644,-4.91E-06,-0.004911376,66.16701333,,,,,
-4.643,-4.94E-06,-0.004937982,66.12057833,,,,,
-4.642,-4.96E-06,-0.004964655,66.07415333,,,,,
-4.641,-4.99E-06,-0.004991394,66.02773833,,,,,
-4.64,-5.02E-06,-0.005018198,65.98133333,,,,,
-4.639,-5.05E-06,-0.005045069,65.93493833,,,,,
-4.638,-5.07E-06,-0.005072006,65.88855333,,,,,
-4.637,-5.10E-06,-0.005099008,65.84217833,,,,,
-4.636,-5.13E-06,-0.005126077,65.79581333,,,,,
-4.635,-5.15E-06,-0.005153211,65.74945833,,,,,
-4.634,-5.18E-06,-0.005180411,65.70311333,,,,,
-4.633,-5.21E-06,-0.005207677,65.65677833,,,,,
-4.632,-5.24E-06,-0.005235008,65.61045333,,,,,
-4.631,-5.26E-06,-0.005262405,65.56413833,,,,,
-4.63,-5.29E-06,-0.005289867,65.51783333,,,,,
-4.629,-5.32E-06,-0.005317395,65.47153833,,,,,
-4.628,-5.34E-06,-0.005344989,65.42525333,,,,,
-4.627,-5.37E-06,-0.005372648,65.37897833,,,,,
-4.626,-5.40E-06,-0.005400372,65.33271333,,,,,
-4.625,-5.43E-06,-0.005428162,65.28645833,,,,,
-4.624,-5.46E-06,-0.005456017,65.24021333,,,,,
-4.623,-5.48E-06,-0.005483937,65.19397833,,,,,
-4.622,-5.51E-06,-0.005511922,65.14775333,,,,,
-4.621,-5.54E-06,-0.005539972,65.10153833,,,,,
-4.62,-5.57E-06,-0.005568088,65.05533333,,,,,
-4.619,-5.60E-06,-0.005596269,65.00913833,,,,,
-4.618,-5.62E-06,-0.005624514,64.96295333,,,,,
-4.617,-5.65E-06,-0.005652825,64.91677833,,,,,
-4.616,-5.68E-06,-0.0056812,64.87061333,,,,,
-4.615,-5.71E-06,-0.005709641,64.82445833,,,,,
-4.614,-5.74E-06,-0.005738146,64.77831333,,,,,
-4.613,-5.77E-06,-0.005766716,64.73217833,,,,,
-4.612,-5.80E-06,-0.005795351,64.68605333,,,,,
-4.611,-5.82E-06,-0.00582405,64.63993833,,,,,
-4.61,-5.85E-06,-0.005852814,64.59383333,,,,,
-4.609,-5.88E-06,-0.005881643,64.54773833,,,,,
-4.608,-5.91E-06,-0.005910536,64.50165333,,,,,
-4.607,-5.94E-06,-0.005939494,64.45557833,,,,,
-4.606,-5.97E-06,-0.005968516,64.40951333,,,,,
-4.605,-6.00E-06,-0.005997603,64.36345833,,,,,
-4.604,-6.03E-06,-0.006026754,64.31741333,,,,,
-4.603,-6.06E-06,-0.006055969,64.27137833,,,,,
-4.602,-6.09E-06,-0.006085248,64.22535333,,,,,
-4.601,-6.11E-06,-0.006114592,64.17933833,,,,,
-4.6,-0.000006144,-0.006144,64.13333333,,,,,
-4.599,-6.17E-06,-0.006173472,64.08733833,,,,,
-4.598,-6.20E-06,-0.006203008,64.04135333,,,,,
-4.597,-6.23E-06,-0.006232608,63.99537833,,,,,
-4.596,-6.26E-06,-0.006262273,63.94941333,,,,,
-4.595,-6.29E-06,-0.006292001,63.90345833,,,,,
-4.594,-6.32E-06,-0.006321793,63.85751333,,,,,
-4.593,-6.35E-06,-0.006351649,63.81157833,,,,,
-4.592,-6.38E-06,-0.006381568,63.76565333,,,,,
-4.591,-6.41E-06,-0.006411552,63.71973833,,,,,
-4.59,-6.44E-06,-0.006441599,63.67383333,,,,,
-4.589,-6.47E-06,-0.00647171,63.62793833,,,,,
-4.588,-6.50E-06,-0.006501884,63.58205333,,,,,
-4.587,-6.53E-06,-0.006532122,63.53617833,,,,,
-4.586,-6.56E-06,-0.006562424,63.49031333,,,,,
-4.585,-6.59E-06,-0.006592789,63.44445833,,,,,
-4.584,-6.62E-06,-0.006623218,63.39861333,,,,,
-4.583,-6.65E-06,-0.00665371,63.35277833,,,,,
-4.582,-6.68E-06,-0.006684265,63.30695333,,,,,
-4.581,-6.71E-06,-0.006714884,63.26113833,,,,,
-4.58,-6.75E-06,-0.006745565,63.21533333,,,,,
-4.579,-6.78E-06,-0.00677631,63.16953833,,,,,
-4.578,-6.81E-06,-0.006807119,63.12375333,,,,,
-4.577,-6.84E-06,-0.00683799,63.07797833,,,,,
-4.576,-6.87E-06,-0.006868925,63.03221333,,,,,
-4.575,-6.90E-06,-0.006899922,62.98645833,,,,,
-4.574,-6.93E-06,-0.006930983,62.94071333,,,,,
-4.573,-6.96E-06,-0.006962106,62.89497833,,,,,
-4.572,-6.99E-06,-0.006993292,62.84925333,,,,,
-4.571,-7.02E-06,-0.007024541,62.80353833,,,,,
-4.57,-7.06E-06,-0.007055853,62.75783333,,,,,
-4.569,-7.09E-06,-0.007087228,62.71213833,,,,,
-4.568,-7.12E-06,-0.007118665,62.66645333,,,,,
-4.567,-7.15E-06,-0.007150166,62.62077833,,,,,
-4.566,-7.18E-06,-0.007181728,62.57511333,,,,,
-4.565,-7.21E-06,-0.007213354,62.52945833,,,,,
-4.564,-7.25E-06,-0.007245041,62.48381333,,,,,
-4.563,-7.28E-06,-0.007276792,62.43817833,,,,,
-4.562,-7.31E-06,-0.007308604,62.39255333,,,,,
-4.561,-7.34E-06,-0.00734048,62.34693833,,,,,
-4.56,-7.37E-06,-0.007372417,62.30133333,,,,,
-4.559,-7.40E-06,-0.007404417,62.25573833,,,,,
-4.558,-7.44E-06,-0.007436479,62.21015333,,,,,
-4.557,-7.47E-06,-0.007468603,62.16457833,,,,,
-4.556,-7.50E-06,-0.00750079,62.11901333,,,,,
-4.555,-7.53E-06,-0.007533038,62.07345833,,,,,
-4.554,-7.57E-06,-0.007565349,62.02791333,,,,,
